,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Overall_Recall,split1_test_Overall_Recall,split2_test_Overall_Recall,split3_test_Overall_Recall,mean_test_Overall_Recall,std_test_Overall_Recall,rank_test_Overall_Recall,split0_test_deceased_Recall,split1_test_deceased_Recall,split2_test_deceased_Recall,split3_test_deceased_Recall,mean_test_deceased_Recall,std_test_deceased_Recall,rank_test_deceased_Recall
0,21.24444807,0.233944217,1.387743533,0.02609296,1,10,"{'learning_rate': 1, 'n_estimators': 10}",0.809527911,0.811665243,0.766408061,0.766860202,0.788615354,0.021994789,2,0.809527911,0.811665243,0.766408061,0.766860202,0.788615354,0.021994789,2,0.006,0,0,0,0.0015,0.002598076,11
1,105.2940252,1.605845886,6.334217548,0.099496316,1,50,"{'learning_rate': 1, 'n_estimators': 50}",0.807281574,0.783747318,0.721660435,0.669341237,0.745507641,0.05396365,5,0.807281574,0.783747318,0.721660435,0.669341237,0.745507641,0.05396365,5,0.001333333,0.008005337,0.008,0.326,0.085834668,0.138686249,8
2,210.5777618,4.673932442,12.69404364,0.103357784,1,100,"{'learning_rate': 1, 'n_estimators': 100}",0.803958719,0.733624235,0.70170163,0.577714462,0.704249761,0.081887745,6,0.803958719,0.733624235,0.70170163,0.577714462,0.704249761,0.081887745,6,0.020666667,0.03802535,0.034666667,0.582,0.168839671,0.238627051,6
3,21.12495697,0.405475546,1.359464884,0.028504247,2,10,"{'learning_rate': 2, 'n_estimators': 10}",0.812692876,0.812705886,0.8127633,0.694775975,0.783234509,0.051071566,3,0.812692876,0.812705886,0.8127633,0.694775975,0.783234509,0.051071566,3,0,0,0,0,0,0,12
4,104.8598526,2.201874546,6.700093329,0.222942582,2,50,"{'learning_rate': 2, 'n_estimators': 50}",0.812692876,0.812705886,0.8127633,0.750468289,0.797157588,0.026956092,1,0.812692876,0.812705886,0.8127633,0.750468289,0.797157588,0.026956092,1,0,0,0,0.081333333,0.020333333,0.035218366,10
5,210.0096664,4.477446613,12.75824666,0.264183475,2,100,"{'learning_rate': 2, 'n_estimators': 100}",0.812692876,0.812705886,0.8127633,0.689658885,0.781955237,0.05328733,4,0.812692876,0.812705886,0.8127633,0.689658885,0.781955237,0.05328733,4,0,0,0,0.500666667,0.125166667,0.216795026,7
6,18.74034053,1.532921389,1.372904599,0.044796077,5,10,"{'learning_rate': 5, 'n_estimators': 10}",0.172774118,0.361038346,0.34010349,0.762668925,0.40914622,0.216755242,7,0.172774118,0.361038346,0.34010349,0.762668925,0.40914622,0.216755242,7,0.014,0,0.095333333,0.018666667,0.032,0.037205137,9
7,87.54229057,5.480122302,6.320620716,0.079580014,5,50,"{'learning_rate': 5, 'n_estimators': 50}",0.455202457,0.277234331,0.389817493,0.288867996,0.352780569,0.073576538,8,0.455202457,0.277234331,0.389817493,0.288867996,0.352780569,0.073576538,8,0.056,0.043362241,0.038666667,0.742666667,0.220173894,0.30172794,5
8,114.2809151,33.70031169,11.08393967,1.352745237,5,100,"{'learning_rate': 5, 'n_estimators': 100}",0.043455482,0.454014368,0.410120786,0.493034872,0.350156377,0.17948671,9,0.043455482,0.454014368,0.410120786,0.493034872,0.350156377,0.17948671,9,0.809333333,0.006004003,0.488,0.272666667,0.394001001,0.294363911,1
9,11.46968657,1.132709173,1.395215631,0.036918347,10,10,"{'learning_rate': 10, 'n_estimators': 10}",0.026977565,0.007657693,0.010765267,0.452435462,0.124458997,0.18949934,10,0.026977565,0.007657693,0.010765267,0.452435462,0.124458997,0.18949934,10,0,0,1,0.375333333,0.343833333,0.408653174,2
10,37.54105014,0.795870783,5.884752512,0.427447518,10,50,"{'learning_rate': 10, 'n_estimators': 50}",0.026977565,0.007657693,0.010765267,0.452435462,0.124458997,0.18949934,10,0.026977565,0.007657693,0.010765267,0.452435462,0.124458997,0.18949934,10,0,0,1,0.375333333,0.343833333,0.408653174,2
11,54.02105004,8.021167804,5.696104705,2.256973283,10,100,"{'learning_rate': 10, 'n_estimators': 100}",0.026977565,0.007657693,0.010743736,0.176076706,0.055363925,0.070078896,12,0.026977565,0.007657693,0.010743736,0.176076706,0.055363925,0.070078896,12,0,0,0.998,0,0.2495,0.432146676,4
