,number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_first_layer,params_lr,params_second_layer,state,deceased_recall,hospitalized_recall,nonhospitalized_recall,recovered_recall,mean_recall
0,0,0.0,2020-12-15 00:15:23.396931,2020-12-15 00:19:56.451666,0 days 00:04:33.054735,relu,sigmoid,186,0.08397629924649405,52,COMPLETE,0.0,0.0,1.0,0.0,0.25
1,1,0.0,2020-12-15 00:19:56.452697,2020-12-15 00:24:26.309333,0 days 00:04:29.856636,relu,sigmoid,237,1.0267366558207516e-05,48,COMPLETE,0.0,0.5804436396559528,0.9992855635437115,0.0,0.39493230079991604
2,2,0.0,2020-12-15 00:24:26.310330,2020-12-15 00:28:51.860974,0 days 00:04:25.550644,relu,sigmoid,141,0.02416859009435577,48,COMPLETE,0.0,0.0,1.0,0.0,0.25
3,3,0.0,2020-12-15 00:28:51.861974,2020-12-15 00:33:22.594593,0 days 00:04:30.732619,relu,sigmoid,38,0.004195554958135327,155,COMPLETE,0.0,0.31108115023520383,0.9980022793654261,0.053230993935641846,0.34057860588406796
4,4,0.0,2020-12-15 00:33:22.595632,2020-12-15 00:37:44.725519,0 days 00:04:22.129887,relu,sigmoid,125,4.0135814076133464e-05,95,COMPLETE,0.0,0.5128338614757808,0.9997759860983315,0.1499225101022659,0.41563308941909455
5,5,0.0,2020-12-15 00:37:44.726494,2020-12-15 00:41:54.644480,0 days 00:04:09.917986,relu,sigmoid,57,0.0002291046051095511,71,COMPLETE,0.0,0.36430511543684924,0.9995103688428146,0.11659997789819143,0.37010386554446384
6,6,0.0,2020-12-15 00:41:54.645500,2020-12-15 00:46:02.815325,0 days 00:04:08.169825,relu,sigmoid,41,0.02502667428261653,116,COMPLETE,0.0,0.13618103804593856,0.9903785869048903,0.0,0.28163990623770724
7,7,0.0,2020-12-15 00:46:02.816310,2020-12-15 00:50:34.404570,0 days 00:04:31.588260,relu,sigmoid,134,0.06779158081530395,114,COMPLETE,0.0,0.06618084122266617,0.9938581051890492,0.0,0.2650097366029288
8,8,0.006799999999999999,2020-12-15 00:50:34.405555,2020-12-15 00:56:17.163752,0 days 00:05:42.758197,relu,sigmoid,225,0.00041867725410769864,90,COMPLETE,0.0016999999999999997,0.3446345975948196,0.9992207517665918,0.32559939568232926,0.4177886862609352
9,9,0.0,2020-12-15 00:56:17.165082,2020-12-15 01:00:52.912989,0 days 00:04:35.747907,relu,sigmoid,175,0.017692644497226587,98,COMPLETE,0.0,0.05006987226169622,0.9967533922555063,0.0,0.2617058161293006
10,10,0.0,2020-12-15 01:00:52.914062,2020-12-15 01:05:11.764960,0 days 00:04:18.850898,relu,sigmoid,250,0.0004910971963981917,4,COMPLETE,0.0,0.588921802113882,0.9661890383513626,0.0,0.3887777101163111
11,11,0.0,2020-12-15 01:05:11.766044,2020-12-15 01:09:35.247283,0 days 00:04:23.481239,relu,sigmoid,207,0.002476126681463952,17,COMPLETE,0.0,0.0,1.0,0.0,0.25
12,12,0.0012000000000000001,2020-12-15 01:09:35.248290,2020-12-15 01:16:27.180883,0 days 00:06:51.932593,relu,sigmoid,205,0.00014981001580066446,199,COMPLETE,0.00030000000000000003,0.3259855925364615,0.9995943743343716,0.19665340624604355,0.38063334327921916
13,13,0.0,2020-12-15 01:16:27.181884,2020-12-15 01:22:28.319861,0 days 00:06:01.137977,relu,sigmoid,215,0.00011432394001399427,186,COMPLETE,0.0,0.3590332040860511,0.9997959873656118,0.24117549973985022,0.40000117279787833
14,14,0.0,2020-12-15 01:22:28.320888,2020-12-15 01:27:18.242177,0 days 00:04:49.921289,relu,sigmoid,238,5.381764315356948e-05,149,COMPLETE,0.0,0.39282087113980346,0.9996943807859869,0.3512773759697555,0.43594815697388645
15,15,0.0,2020-12-15 01:27:18.243177,2020-12-15 01:33:33.673826,0 days 00:06:15.430649,relu,sigmoid,167,0.0015366743272210756,192,COMPLETE,0.0,0.5134548389001515,0.9982686910395151,0.14498523636068472,0.41417719157508787
16,16,0.0,2020-12-15 01:33:33.674820,2020-12-15 01:37:31.839376,0 days 00:03:58.164556,relu,sigmoid,92,1.2566577273844457e-05,145,COMPLETE,0.0,0.7073306827799318,0.9995031724144366,0.0002710524170538844,0.4267762269028556
17,17,0.0,2020-12-15 01:37:31.840295,2020-12-15 01:42:39.957451,0 days 00:05:08.117156,relu,sigmoid,211,0.000447599595185569,76,COMPLETE,0.0,0.35426122384710773,0.9996815798387202,0.09057517074452844,0.36112949360758906
18,18,0.0,2020-12-15 01:42:39.958442,2020-12-15 01:47:23.858868,0 days 00:04:43.900426,relu,sigmoid,192,3.4113750737037196e-05,174,COMPLETE,0.0,0.3956147774912906,0.9997415837045691,0.3080316262028636,0.42584699684968086
19,19,0.0,2020-12-15 01:47:23.859863,2020-12-15 01:52:36.801861,0 days 00:05:12.941998,relu,sigmoid,156,0.0006696639562730452,128,COMPLETE,0.0,0.3148729505776763,0.9992903559652481,0.2715040764995028,0.39641684576060676
20,20,0.0,2020-12-15 01:52:36.802858,2020-12-15 01:57:32.739659,0 days 00:04:55.936801,relu,sigmoid,227,0.00015868391604535083,76,COMPLETE,0.0,0.232813391855453,0.999759184805438,0.44583192119489184,0.4196011244639457
21,21,0.0,2020-12-15 01:57:32.740651,2020-12-15 02:01:37.737041,0 days 00:04:04.996390,relu,sigmoid,189,0.004337449243355636,41,COMPLETE,0.0,0.0,1.0,0.0,0.25
22,22,0.0,2020-12-15 02:01:37.738065,2020-12-15 02:06:14.952595,0 days 00:04:37.214530,relu,sigmoid,197,0.0002630461198726022,29,COMPLETE,0.0,0.2724860747534788,0.9998047878776418,0.04213129921271942,0.32860554046096
23,23,0.0,2020-12-15 02:06:14.953514,2020-12-15 02:11:23.140119,0 days 00:05:08.186605,relu,sigmoid,176,0.0011359187328102338,68,COMPLETE,0.0,0.29436888617710155,0.9985919112519858,0.06826429907189183,0.3403062741252448
24,24,0.0,2020-12-15 02:11:23.141134,2020-12-15 02:16:02.419947,0 days 00:04:39.278813,relu,sigmoid,248,0.00010869759221957089,59,COMPLETE,0.0,0.2895270336764618,0.999807987928838,0.2571295183923878,0.3866161349994219
25,25,0.0,2020-12-15 02:16:02.420792,2020-12-15 02:20:29.261572,0 days 00:04:26.840780,relu,sigmoid,202,0.0002937419568366951,28,COMPLETE,0.0,0.26660893184010076,0.9998871930363666,4.0759346640369756e-05,0.31663422105577693
26,26,0.0,2020-12-15 02:20:29.262602,2020-12-15 02:25:32.097062,0 days 00:05:02.834460,relu,sigmoid,155,0.0011134194471725813,86,COMPLETE,0.0,0.24609601039226878,0.9993815626473165,0.17485927025589473,0.35508421082387
27,27,0.0,2020-12-15 02:25:32.098097,2020-12-15 02:29:58.742278,0 days 00:04:26.644181,relu,sigmoid,226,2.0285451281482252e-05,118,COMPLETE,0.0,0.5386767571397642,0.9998087883256798,0.0743417294289751,0.40320681872360475
28,28,0.0,2020-12-15 02:29:58.743288,2020-12-15 02:34:33.389942,0 days 00:04:34.646654,relu,sigmoid,222,8.896442391180892e-05,60,COMPLETE,0.0,0.35162379199716576,0.999781586303137,0.29196734903010285,0.41084318183260143
29,29,0.0,2020-12-15 02:34:33.390985,2020-12-15 02:38:27.867359,0 days 00:03:54.476374,relu,sigmoid,105,0.006536298994335747,47,COMPLETE,0.0,0.10474639321353356,0.9971190177804419,0.0,0.27546635274849385
30,30,0.0,2020-12-15 02:38:27.868220,2020-12-15 02:44:04.718258,0 days 00:05:36.850038,relu,sigmoid,250,0.0006589045243752649,90,COMPLETE,0.0,0.27981380518432497,0.9993567595110413,0.09148531745657958,0.3426639705379864
31,31,0.0,2020-12-15 02:44:04.719214,2020-12-15 02:48:45.656906,0 days 00:04:40.937692,relu,sigmoid,232,7.465520643737161e-05,62,COMPLETE,0.0,0.3933424528116205,0.9998399899513661,0.14850600645388096,0.3854221123042169
32,32,0.0,2020-12-15 02:48:45.657919,2020-12-15 02:52:41.210102,0 days 00:03:55.552183,relu,sigmoid,106,0.012739502437791846,49,COMPLETE,0.0,0.05947211998346684,0.9997175832693938,0.0,0.26479742581321514
33,33,0.0,2020-12-15 02:52:41.210965,2020-12-15 02:57:43.475572,0 days 00:05:02.264607,relu,sigmoid,163,0.0001842682247098338,130,COMPLETE,0.0,0.24570433208022519,0.9998207889017074,0.3630335670054686,0.4021396719968503
34,34,0.0,2020-12-15 02:57:43.476632,2020-12-15 03:02:28.870437,0 days 00:04:45.393805,relu,sigmoid,189,0.002061951785990068,77,COMPLETE,0.0,0.2667772157379889,0.9992127547621517,0.0025739352760231642,0.31714097644404093
35,35,0.0,2020-12-15 03:02:28.871451,2020-12-15 03:07:01.166841,0 days 00:04:32.295390,relu,sigmoid,237,0.003160618378903159,33,COMPLETE,0.0,0.0,1.0,0.0,0.25
36,36,0.0,2020-12-15 03:07:01.167805,2020-12-15 03:11:07.019502,0 days 00:04:05.851697,relu,sigmoid,199,0.0063551470044594105,30,COMPLETE,0.0,0.0,1.0,0.0,0.25
37,37,0.0,2020-12-15 03:11:07.020478,2020-12-15 03:15:03.143003,0 days 00:03:56.122525,relu,sigmoid,185,0.08591687616334841,7,COMPLETE,0.0,0.0,0.9998511928572572,0.0,0.2499627982143143
38,38,0.0,2020-12-15 03:15:03.144036,2020-12-15 03:19:05.592593,0 days 00:04:02.448557,relu,sigmoid,146,0.0002625353050664561,19,COMPLETE,0.0,0.28667998504143133,0.9972694253584287,0.00010597538110377435,0.32101384644524095
39,39,0.0,2020-12-15 03:19:05.593568,2020-12-15 03:24:57.549671,0 days 00:05:51.956103,relu,sigmoid,215,0.00033442344726243307,105,COMPLETE,0.0,0.18111283878205758,0.9996631786866474,0.44062248479582794,0.40534962556613324
40,40,0.0,2020-12-15 03:24:57.550690,2020-12-15 03:29:12.066241,0 days 00:04:14.515551,relu,sigmoid,176,0.033111420677443104,101,COMPLETE,0.0,0.0,0.999995199769589,0.0,0.24999879994239724
41,41,0.0,2020-12-15 03:29:12.067252,2020-12-15 03:33:30.350836,0 days 00:04:18.283584,relu,sigmoid,174,0.00011321269479687703,65,COMPLETE,0.0,0.39989174720018894,0.9997111818228515,0.23531597296409226,0.4087297254967832
42,42,0.0,2020-12-15 03:33:30.352279,2020-12-15 03:38:10.224561,0 days 00:04:39.872282,relu,sigmoid,250,4.1048917685563374e-05,57,COMPLETE,0.0,0.5121518688369713,0.9998159884920763,0.07568680182294732,0.3969136647879987
43,43,0.0,2020-12-15 03:38:10.225595,2020-12-15 03:43:17.424991,0 days 00:05:07.199396,relu,sigmoid,205,0.00014922455426022896,52,COMPLETE,0.0,0.30022044206506976,0.9998343895801417,0.2144699891944683,0.37863120520991994
44,44,0.0,2020-12-15 03:43:17.426047,2020-12-15 03:48:25.563166,0 days 00:05:08.137119,relu,sigmoid,149,0.000963897486200731,81,COMPLETE,0.0,0.2650343456610309,0.9988511279954647,0.10827914585879572,0.3430411548788228
45,45,0.0,2020-12-15 03:48:25.564540,2020-12-15 03:53:00.875318,0 days 00:04:35.310778,relu,sigmoid,129,0.00040396992530512273,83,COMPLETE,0.0,0.30241895801759594,0.9993895616615813,0.3213664227177885,0.4057937355992415
46,46,0.0,2020-12-15 03:53:00.876311,2020-12-15 03:57:24.936482,0 days 00:04:24.060171,relu,sigmoid,219,1.7368661735832915e-05,112,COMPLETE,0.0,0.5537711338988721,0.9997631855735118,0.010587347505370496,0.39103041674443867
47,47,0.0,2020-12-15 03:57:24.937499,2020-12-15 04:01:53.278510,0 days 00:04:28.341011,relu,sigmoid,161,1.8629145630113045e-05,170,COMPLETE,0.0,0.6029100320821933,0.9997999876984366,0.07201434702088835,0.41868109170037954
48,48,0.0,2020-12-15 04:01:53.279556,2020-12-15 04:06:50.609277,0 days 00:04:57.329721,relu,sigmoid,223,2.573768534898748e-05,200,COMPLETE,0.0,0.495948392937981,0.9997919870711911,0.14034187862947325,0.40902056465966136
49,49,0.0,2020-12-15 04:06:50.610897,2020-12-15 04:10:55.938228,0 days 00:04:05.327331,relu,sigmoid,85,0.01107949459532883,126,COMPLETE,0.0,0.13648217765268567,0.9996775800307539,0.0,0.2840399394208599
50,50,0.0,2020-12-15 04:10:55.939109,2020-12-15 04:15:33.021178,0 days 00:04:37.082069,relu,sigmoid,118,0.0006468264182786928,91,COMPLETE,0.0,0.308563780581416,0.9990239383128895,0.17016570101665493,0.3694383549777401
51,51,0.0,2020-12-15 04:15:33.022300,2020-12-15 04:19:53.023665,0 days 00:04:20.001365,relu,sigmoid,239,6.180792443271867e-05,40,COMPLETE,0.0,0.40819178459661076,0.9997767859063075,0.1934478643604167,0.4003541087158337
52,52,0.0,2020-12-15 04:19:53.024705,2020-12-15 04:23:53.564105,0 days 00:04:00.539400,relu,sigmoid,101,0.011030063985143501,48,COMPLETE,0.0,0.0,0.9998599914490726,0.0,0.24996499786226814
53,53,0.0,2020-12-15 04:23:53.566347,2020-12-15 04:29:29.805495,0 days 00:05:36.239148,relu,sigmoid,234,0.0006455702108670899,94,COMPLETE,0.0,0.26247170665459485,0.999445565399428,0.16771871624309662,0.35740899707427987
54,54,0.0,2020-12-15 04:29:29.806452,2020-12-15 04:33:17.242649,0 days 00:03:47.436197,relu,sigmoid,60,0.04351814885473145,67,COMPLETE,0.0,0.0,1.0,0.0,0.25
55,55,0.0,2020-12-15 04:33:17.243508,2020-12-15 04:37:47.453263,0 days 00:04:30.209755,relu,sigmoid,231,6.494949978459774e-05,86,COMPLETE,0.0,0.3813126144035271,0.999764785432691,0.2377481580483319,0.40470638947113746
56,56,0.015200000000000002,2020-12-15 04:37:47.454161,2020-12-15 04:42:06.829002,0 days 00:04:19.374841,relu,sigmoid,79,0.0001766211032274186,159,COMPLETE,0.0038000000000000004,0.4411419686263704,0.9978974662570798,0.21050710692592173,0.41333663545234295
57,57,0.0028,2020-12-15 04:42:06.829857,2020-12-15 04:46:19.365128,0 days 00:04:12.535271,relu,sigmoid,63,0.00018379005871869215,156,COMPLETE,0.0007,0.47067234829846266,0.997061412352811,0.11980210250929788,0.3970589657901429
58,58,0.012533333333333332,2020-12-15 04:46:19.366483,2020-12-15 04:50:41.086310,0 days 00:04:21.719827,relu,sigmoid,70,7.838881473101969e-05,166,COMPLETE,0.003133333333333333,0.5132029051115004,0.9959397405658164,0.2339973787162009,0.43656833943171275
